trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.49878125241369053}",25,0,-217.68799162659857,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 5}",0
2,False,"{'a': 0.65, 'e': 0.4979687611744461}",20,0,-50.1002105932901,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.65, 'e': 0.49715628066248574}",20,0,-35.98873612267211,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.65, 'e': 0.49634381516840587}",25,0,-93.00801484580299,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.65, 'e': 0.49553136898248573}",25,0,-69.2903115337095,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
6,False,"{'a': 0.65, 'e': 0.49471894639459657}",25,17,-8.792061340988674,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.65, 'e': 0.49390655169411124}",30,19,-73.8076371579818,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
8,False,"{'a': 0.65, 'e': 0.49309418916981373}",25,0,-4.416574689999381,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.65, 'e': 0.49228186310980804}",25,1,-0.9848987662698394,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.65, 'e': 0.4914695778014285}",25,5,-43.51247216985386,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.65, 'e': 0.4906573375311488}",20,5,-34.86050454833782,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 0}",1
12,False,"{'a': 0.65, 'e': 0.48984514658449163}",25,0,-44.100529993465116,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.65, 'e': 0.48903300924593796}",25,8,-42.4243987120457,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.65, 'e': 0.48822092979883736}",20,0,-82.51390530840439,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.65, 'e': 0.48740891252531726}",20,2,-78.37436059719985,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.65, 'e': 0.4865969617061926}",25,3,1.7995505985261875,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.65, 'e': 0.4857850816208761}",20,3,13.858420574050312,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.65, 'e': 0.4849732765472876}",25,0,-58.67408285865003,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.65, 'e': 0.48416155076176426}",25,0,-106.80679518648762,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.65, 'e': 0.48334990853897075}",25,0,-6.768624917300274,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.65, 'e': 0.4825383541518089}",30,0,-65.55279164578262,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.65, 'e': 0.48172689187132844}",20,11,-12.200299952729432,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.65, 'e': 0.48091552596663645}",20,0,-40.64187871379742,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.65, 'e': 0.4801042607048087}",20,2,-34.83945668372189,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
