trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,1,-93.43891501081323,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-184.37185959817023,"{0: 18, 1: 5, 2: 2, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-212.1801839031244,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-175.11681151886592,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-137.96401397261255,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-157.01120253108812,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-57.69302742878466,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-46.237158662224736,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-96.63875231599148,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-113.87718348796723,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-164.94835932852376,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-178.88282902380055,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-90.99197317596848,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-101.80382804933076,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-87.99587213424596,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-69.96262764576657,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-91.42187835388039,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-117.83526037681544,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,-0.15768439232802578,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-71.03444837227812,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-30.773550304404033,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-151.98235209307592,"{0: 10, 1: 4, 2: 8, 3: 3, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-224.21999972218183,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-102.04470085982236,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,6,-124.22567073457063,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.50792104899234,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-125.1432389498789,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,23,-31.141555362667532,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-132.44066620490563,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,11,-12.56409559136974,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
